End of Period,AAPL,ABBV,ADBE,AMZN,BKNG,BUD,BX,C,CHH,CICHY,CS,CSCO,CVS,DAL,DAR,EXPE,FDP,H,HLT,HPQ,IHG,INTU,ISRG,JNJ,LLY,MAR,MET,MKC,MKL,MRK,NVDA,NWL,ORCL,PFE,PRU,PVH,SFM,TCOM,TMO,TMUS,TRIP,TXN,UL,UNH,V,VRTX,WFC
2020-03-31,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2020-06-30,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0
2020-09-30,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0
2020-12-31,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.0,0.02439024390243903,0.0,0.0,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.0,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.0,0.02439024390243903,0.02439024390243903,0.0,0.02439024390243903
2021-03-31,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.0,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.033333333333333326,0.0,0.0,0.033333333333333326
2021-06-30,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.0,0.035714285714285705,0.035714285714285705,0.0,0.035714285714285705,0.0,0.0,0.035714285714285705,0.035714285714285705,0.0,0.0,0.0,0.035714285714285705,0.0,0.0,0.0,0.0,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.0,0.0,0.0,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.0,0.0,0.0,0.035714285714285705,0.035714285714285705,0.0,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.035714285714285705,0.0,0.035714285714285705
2021-09-30,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2021-12-31,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903
2022-03-31,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0
2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.0,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.0,0.0,0.0,0.11111111111111112,0.0,0.11111111111111112,0.0,0.0,0.11111111111111112,0.0,0.0,0.11111111111111112,0.0
2022-09-29,0.07142857142857141,0.0,0.0,0.07142857142857141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857141,0.0,0.07142857142857141,0.0,0.0,0.07142857142857141,0.07142857142857141,0.0,0.0,0.07142857142857141,0.0,0.0,0.07142857142857141,0.07142857142857141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857141,0.0,0.0,0.0,0.07142857142857141,0.07142857142857141,0.0,0.0,0.0,0.07142857142857141,0.07142857142857141
